---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230309.01  117901     0.719     0.728    00:00:52      L117900.0
 20230309.01  118001     0.767     0.762    00:00:49      L118000.0
 20230309.01  118101     0.825     0.826    00:00:58      L118100.0
 20230309.01  118201     0.926     0.929    00:00:56      L118200.0
 20230309.01  118301     1.436     1.470    00:01:26      L118300.0
 20230309.01  118401     1.306     1.309    00:01:07      L118400.0
 20230309.01  118501     0.958     0.969    00:00:58      L118500.0
 20230309.01  117003     1.477     1.478    00:01:23      L117000.0
 20230309.01  116802     0.512     0.506    00:00:29      L116800.0
 20230309.01  116702     0.562     0.544    00:00:33      L116700.0
 20230309.01  116002     0.430     0.420    00:00:29      L116000.1
 20230309.01  116103     0.528     0.527    00:00:31      L116100.1
 20230309.01  116202     0.515     0.496    00:00:34      L116200.0
 20230309.01  116302     0.481     0.479    00:00:26      L116300.0
 20230309.01  116402     0.535     0.508    00:00:32      L116400.0
 20230309.01  116602     0.556     0.569    00:00:30      L116600.0
 20230309.01  117303     0.968     0.958    00:00:45      L117300.0
 20230309.01  117204     1.081     1.061    00:01:03      L117200.0
 20230309.01  117403     0.372     0.374    00:00:25      L117400.0
 20230309.01  116803     0.786     0.801    00:00:40      L116800.0
 20230309.01  116703     0.627     0.622    00:00:40      L116700.0
 20230309.01  116603     0.698     0.708    00:00:34      L116600.0
 20230309.01  116502     0.731     0.729    00:00:44      L116500.1
 20230309.01  116403     0.683     0.667    00:00:32      L116400.1
 20230309.01  116303     0.471     0.457    00:00:29      L116300.1
 20230309.01  116604     0.895     0.893    00:00:51      L116600.0
 20230309.01  111903     2.216     2.222    00:02:00      L111900.0
 20230309.01  111802     2.556     2.601    00:02:02      L111800.0
 20230309.01  111904     0.788     0.776    00:00:49      L111900.0
 20230309.01  112002     1.101     1.143    00:01:07      L112000.0
 20230309.01  112102     1.052     1.089    00:00:58      L112100.0
 20230309.01  112202     0.731     0.765    00:00:49      L112100.0
 20230309.01  112302     0.740     0.761    00:00:41      L112300.0
 20230309.01  111703     2.757     2.794    00:02:11      L111700.0
 20230309.01  111002     0.848     0.843    00:00:51      L111000.0
 20230309.01  111402     2.444     2.504    00:01:56      L111400.0
 20230309.01  111502     2.401     2.415    00:02:08      L111500.0
 20230309.01  111603     2.412     2.471    00:01:53      L111600.0
 20230309.01  112003     0.634     0.646    00:00:36      L112000.1
 20230309.01  112902     0.485     0.495    00:00:35      L112900.0
 20230309.01  113002     0.445     0.453    00:00:37      L113000.0
 20230309.01  920003     0.000     0.857    00:00:46              *
 20230309.01  180013     0.098     0.554    00:00:32      L115400.0
 20230309.01  180014     0.160     0.554    00:00:34      L115300.0
 20230309.01  180015     0.931     1.231    00:01:16      L115100.1
 20230309.01  180016     0.950     1.075    00:00:56      L116500.1
 20230309.01  180017     0.491     0.671    00:00:36      L116200.1
 20230309.01  180018     0.240     0.791    00:00:39      L118100.0
 20230309.01  180019     0.499     0.744    00:00:41      L118400.0
 20230309.01  180020     0.000     0.907    00:00:41              *
 20230309.01  180021     0.000     0.785    00:00:40              *
 20230309.01  180022     0.000     1.281    00:01:09              *
 20230309.01  180023     0.926     0.935    00:00:47      L116900.0
 20230309.01  180024     0.442     0.432    00:00:25      L116900.0
 20230309.01  180025     0.913     1.371    00:01:49      L114200.0
                       112.160   120.732    01:49:27

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230309.01   112.160   120.732    02:39:01    01:49:27    00:49:33
               112.160   120.732    02:39:01    01:49:27    00:49:33

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230309      112.160   120.732    02:39:01    01:49:27    00:49:33
               112.160   120.732    02:39:01    01:49:27    00:49:33
