---------------------------------------------------------------------
SkyTEM Production Line Report
---------------------------------------------------------------------
Line Search Method: Distance only
---------------------------------------------------------------------
Project Number: 
Project Name:   
Client Name:    
---------------------------------------------------------------------

PRODUCTION LINES
      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230310.01  109803     2.370     2.429    00:02:21      L109800.3
 20230310.01  109903     1.356     1.448    00:01:18      L109900.2
 20230310.01  110002     1.264     1.271    00:01:14      L110000.1
 20230310.01  110103     1.268     1.300    00:01:10      L110100.2
 20230310.01  109703     2.303     2.316    00:02:10      L109700.2
 20230310.01  109602     1.729     1.736    00:01:31      L109600.2
 20230310.01  111606     0.894     0.884    00:00:54      L111600.1
 20230310.01  111705     0.492     0.475    00:00:25      L111700.0
 20230310.01  111804     0.710     0.716    00:00:45      L111800.0
 20230310.01  111906     0.665     0.657    00:00:40      L112000.1
 20230310.01  112005     0.574     0.563    00:00:32      L112000.1
 20230310.01  112503     0.426     0.402    00:00:24      L112500.0
 20230310.01  920005     0.000     0.878    00:00:45              *
 20230310.01  180060     0.000     1.038    00:00:49              *
 20230310.01  180061     0.000     1.108    00:00:55              *
 20230310.01  180042     0.055     0.399    00:00:22      L113200.2
 20230310.01  180043     0.006     0.465    00:00:25      L112800.2
 20230310.01  180044     0.002     0.580    00:00:29      L112500.2
 20230310.01  180045     0.000     0.706    00:00:40              *
 20230310.01  180037     0.000     0.839    00:00:45              *
 20230310.01  180038     0.000     0.821    00:00:44              *
 20230310.01  180039     0.000     0.809    00:00:46              *
 20230310.01  180040     0.000     0.801    00:00:42              *
 20230310.01  180041     0.000     0.843    00:00:45              *
 20230310.01  180046     0.600     0.762    00:00:37      L113800.1
 20230310.01  180047     0.664     0.751    00:00:42      L114400.2
 20230310.01  180048     0.540     0.604    00:00:31      L114300.2
 20230310.01  180049     0.087     0.306    00:00:18      L115300.1
 20230310.01  180050     0.000     2.555    00:02:06              *
 20230310.01  180051     0.000     2.401    00:01:46              *
 20230310.01  180052     1.440     1.770    00:01:44      L115500.1
 20230310.01  180053     1.096     1.130    00:01:01      L115600.1
 20230310.01  180054     0.480     0.489    00:00:29      L115700.2
 20230310.01  180055     0.000     3.393    00:02:57              *
 20230310.01  180056     0.000     1.448    00:01:22              *
 20230310.01  180057     0.408     0.495    00:00:27      L111200.2
 20230310.01  180058     0.378     0.734    00:00:48      L111200.2
 20230310.01  180059     0.330     0.398    00:00:26      L111500.2
 20230310.01  180062     0.000     1.207    00:01:00              *
                       101.763   125.551    01:54:15

---------------------------------------------------------------------

FLIGHTS
      Flight  FlownMis  FlownHel      Flying  Production       Ferry
 20230310.01   101.763   125.551    02:43:43    01:54:15    00:49:28
               101.763   125.551    02:43:43    01:54:15    00:49:28

---------------------------------------------------------------------

DATES
     Date     FlownMis  FlownHel      Flying  Production       Ferry
 20230310      101.763   125.551    02:43:43    01:54:15    00:49:28
               101.763   125.551    02:43:43    01:54:15    00:49:28
